Alloy,Powder size,Laser power,Scan speed,Beam diameter,Layer thickness,Thermal diffusivity of gas,Balling,Liquidus temperature,Ambient temperature,Solidus temperature,Density,Viscosity,Surface tension,Thermal diffusivity of alloy,Latent heat of fusion of alloy,dγ/dT,Absorption,Specific heat,Thermal conductivity,,Volumetric energy density,Richardson number,Marangoni number,ε,F,T,NE,Prandtl number
AISi10Mg,30,160,3000,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,1.697652726,6.41E-05,117,11.6,1.11E-03,1.93E-03,2.911043844,0.006290586
AISi10Mg,30,180,3000,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,1.909859317,8.97E-05,172,12.33,1.29E-03,2.26E-03,3.274924324,0.006290586
AISi10Mg,30,195,3000,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,2.06901426,9.71E-05,204,12.48,1.37E-03,2.41E-03,3.547834685,0.006290586
AISi10Mg,30,100,1900,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,1.67531519,1.14E-04,55.6,8.57,7.25E-04,1.89E-03,2.286191421,0.006290586
AISi10Mg,30,130,1900,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,2.177909748,2.61E-04,124,9.09,9.74E-04,2.63E-03,2.972048847,0.006290586
AISi10Mg,30,160,1900,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,2.680504305,7.79E-04,240,9.54,1.20E-03,3.26E-03,3.657906274,0.006290586
AISi10Mg,30,180,1900,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,3.015567343,8.71E-03,300,9.69,1.34E-03,3.67E-03,4.115144558,0.006290586
AISi10Mg,30,195,1900,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,3.266864621,2.83E-02,374,10.31,1.48E-03,4.07E-03,4.458073271,0.006290586
AISi10Mg,30,100,1200,0.2,0.05,3.49E-05,1,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,2.652582385,8.19E-04,111,6.91,7.74E-04,3.17E-03,2.876727786,0.006290586
AISi10Mg,30,160,1200,0.2,0.05,3.49E-05,0,867,298,831,2670,1.30E-03,0.82,7.74E-05,4.23E+05,-3.50E-04,3.30E-01,5.67E+02,1.13E+02,,4.244131816,8.90E-04,397,7.8,1.26E-03,5.33E-03,4.602764458,0.006290586
